Period (s),ActualPosition (mm),Gate,Trigger
0.133530,12.585815,0,0
0.133734,12.586825,0,0
0.133939,12.587835,0,0
0.134144,12.588850,0,0
0.134349,12.589885,0,0
0.134554,12.590905,0,0
0.134758,12.591930,0,0
0.134963,12.592950,0,0
0.135168,12.593965,0,0
0.135373,12.594975,0,0
0.135578,12.595985,0,0
0.135782,12.596990,0,0
0.135987,12.598020,0,0
0.136192,12.599050,0,0
0.136397,12.600080,0,0
0.136602,12.601100,0,0
0.136806,12.602125,0,0
0.137011,12.603140,0,0
0.137216,12.604155,0,0
0.137421,12.605180,0,0
0.137626,12.606205,0,0
0.137830,12.607225,0,0
0.138035,12.608235,0,0
0.138240,12.609265,0,0
0.138445,12.610300,0,0
0.138650,12.611320,0,0
0.138854,12.612355,0,0
0.139059,12.613370,0,0
0.139264,12.614380,0,0
0.139469,12.615395,0,0
0.139674,12.616410,0,0
0.139878,12.617425,0,0
0.140083,12.618445,0,0
0.140288,12.619470,0,0
0.140493,12.620515,0,0
0.140698,12.621560,0,0
0.140902,12.622590,0,0
0.141107,12.623615,0,0
0.141312,12.624645,0,0
0.141517,12.625670,0,0
0.141722,12.626690,0,0
0.141926,12.627720,0,0
0.142131,12.628740,0,0
0.142336,12.629765,0,0
0.142541,12.630800,0,0
0.142746,12.631830,0,0
0.142950,12.632845,0,0
0.143155,12.633845,0,0
0.143360,12.634870,0,0
0.143565,12.635880,0,0
0.143770,12.636890,0,0
0.143974,12.637900,0,0
0.144179,12.638930,0,0
0.144384,12.639965,0,0
0.144589,12.641015,0,0
0.144794,12.642065,0,0
0.144998,12.643110,0,0
0.145203,12.644115,0,0
0.145408,12.645150,0,0
0.145613,12.646175,0,0
0.145818,12.647195,0,0
0.146022,12.648225,0,0
0.146227,12.649245,0,0
0.146432,12.650265,0,0
0.146637,12.651275,0,0
0.146842,12.652295,0,0
0.147046,12.653325,0,0
0.147251,12.654345,0,0
0.147456,12.655365,0,0
0.147661,12.656370,0,0
0.147866,12.657395,0,0
0.148070,12.658430,0,0
0.148275,12.659460,0,0
0.148480,12.660510,0,0
0.148685,12.661540,0,0
0.148890,12.662570,0,0
0.149094,12.663595,0,0
0.149299,12.664610,0,0
0.149504,12.665625,0,0
0.149709,12.666645,0,0
0.149914,12.667660,0,0
0.150118,12.668680,0,0
0.150323,12.669720,0,0
0.150528,12.670745,0,0
0.150733,12.671760,0,0
0.150938,12.672775,0,0
0.151142,12.673790,0,0
0.151347,12.674810,0,0
0.151552,12.675820,0,0
0.151757,12.676825,0,0
0.151962,12.677850,0,0
0.152166,12.678880,0,0
0.152371,12.679910,0,0
0.152576,12.680930,0,0
0.152781,12.681960,0,0
0.152986,12.682980,0,0
0.153190,12.684000,0,0
0.153395,12.685020,0,0
0.153600,12.686045,0,0
0.153805,12.687065,0,0
0.154010,12.688070,0,0
0.154214,12.689095,0,0
0.154419,12.690125,0,0
0.154624,12.691155,0,0
0.154829,12.692180,0,0
0.155034,12.693205,0,0
0.155238,12.694205,0,0
0.155443,12.695215,0,0
0.155648,12.696230,0,0
0.155853,12.697245,0,0
0.156058,12.698270,0,0
0.156262,12.699290,0,0
0.156467,12.700325,0,0
0.156672,12.701365,0,0
0.156877,12.702395,0,0
0.157082,12.703420,0,0
0.157286,12.704440,0,0
0.157491,12.705460,0,0
0.157696,12.706470,0,0
0.157901,12.707490,0,0
0.158106,12.708510,0,0
0.158310,12.709525,0,0
0.158515,12.710545,0,0
0.158720,12.711565,0,0
0.158925,12.712575,0,0
0.159130,12.713580,0,0
0.159334,12.714590,0,0
0.159539,12.715600,0,0
0.159744,12.716600,0,0
0.159949,12.717600,0,0
0.160154,12.718610,0,0
0.160358,12.719640,0,0
0.160563,12.720680,0,0
0.160768,12.721715,0,0
0.160973,12.722755,0,0
0.161178,12.723755,0,0
0.161382,12.724770,0,0
0.161587,12.725785,0,0
0.161792,12.726795,0,0
0.161997,12.727810,0,0
0.162202,12.728825,0,0
0.162406,12.729835,0,0
0.162611,12.730850,0,0
0.162816,12.731855,0,0
0.163021,12.732875,0,0
0.163226,12.733890,0,0
0.163430,12.734910,0,0
0.163635,12.735915,0,0
0.163840,12.736915,0,0
0.164045,12.737940,0,0
0.164250,12.738970,0,0
0.164454,12.739995,0,0
0.164659,12.741025,0,0
0.164864,12.742050,0,0
0.165069,12.743055,0,0
0.165274,12.744065,0,0
0.165478,12.745070,0,0
0.165683,12.746080,0,0
0.165888,12.747080,0,0
0.166093,12.748095,0,0
0.166298,12.749110,0,0
0.166502,12.750135,0,0
0.166707,12.751165,0,0
0.166912,12.752180,0,0
0.167117,12.753190,0,0
0.167322,12.754220,0,0
0.167526,12.755235,0,0
0.167731,12.756240,0,0
0.167936,12.757250,0,0
0.168141,12.758285,0,0
0.168346,12.759310,0,0
0.168550,12.760345,0,0
0.168755,12.761365,0,0
0.168960,12.762395,0,0
0.169165,12.763405,0,0
0.169370,12.764415,0,0
0.169574,12.765445,0,0
0.169779,12.766465,0,0
0.169984,12.767480,0,0
0.170189,12.768495,0,0
0.170394,12.769530,0,0
0.170598,12.770565,0,0
0.170803,12.771590,0,0
0.171008,12.772615,0,0
0.171213,12.773625,0,0
0.171418,12.774630,0,0
0.171622,12.775650,0,0
0.171827,12.776665,0,0
0.172032,12.777680,0,0
0.172237,12.778705,0,0
0.172442,12.779730,0,0
0.172646,12.780765,0,0
0.172851,12.781800,0,0
0.173056,12.782820,0,0
0.173261,12.783840,0,0
0.173466,12.784855,0,0
0.173670,12.785875,0,0
0.173875,12.786895,0,0
0.174080,12.787915,0,0
0.174285,12.788935,0,0
0.174490,12.789960,0,0
0.174694,12.790985,0,0
0.174899,12.792010,0,0
0.175104,12.793025,0,0
0.175309,12.794030,0,0
0.175514,12.795050,0,0
0.175718,12.796060,0,0
0.175923,12.797070,0,0
0.176128,12.798080,0,0
0.176333,12.799110,0,0
0.176538,12.800150,0,0
0.176742,12.801195,0,0
