Period (s),CommandedVelocity (mm/s),PositionError (mm),PhaseAActualCurrent (mA)
0.211968,3.473625,0.001080,-26.884000
0.212480,3.371389,0.001085,-26.884000
0.212992,3.269152,0.001100,-17.108000
0.213504,3.166915,0.001120,-25.662000
0.214016,3.064680,0.001125,-19.552000
0.214528,2.962443,0.001100,-25.662000
0.215040,2.860208,0.001065,-13.442000
0.215552,2.757971,0.001015,-7.332000
0.216064,2.655736,0.000970,-10.998000
0.216576,2.553499,0.000940,-7.332000
0.217088,2.451263,0.000905,-2.444000
0.217600,2.349027,0.000870,-4.888000
0.218112,2.246791,0.000840,-1.222000
0.218624,2.144554,0.000820,-1.222000
0.219136,2.042319,0.000785,-1.222000
0.219648,1.940082,0.000760,3.666000
0.220160,1.837847,0.000745,4.888000
0.220672,1.735610,0.000740,4.888000
0.221184,1.633374,0.000720,7.332000
0.221696,1.531138,0.000700,4.888000
0.222208,1.428901,0.000700,4.888000
0.222720,1.326665,0.000685,10.998000
0.223232,1.224428,0.000670,13.442000
0.223744,1.122193,0.000645,15.886000
0.224256,1.019956,0.000625,15.886000
0.224768,0.917721,0.000600,21.996000
0.225280,0.815484,0.000575,19.552000
0.225792,0.715470,0.000565,23.218000
0.226304,0.621907,0.000555,15.886000
0.226816,0.534900,0.000550,13.442000
0.227328,0.454444,0.000550,13.442000
0.227840,0.380543,0.000540,-1.222000
0.228352,0.313194,0.000545,1.222000
0.228864,0.252400,0.000525,7.332000
0.229376,0.198160,0.000520,-4.888000
0.229888,0.150472,0.000500,-1.222000
0.230400,0.109339,0.000480,-7.332000
0.230912,0.074759,0.000465,-10.998000
0.231424,0.046733,0.000435,-8.554000
0.231936,0.025259,0.000400,-13.442000
0.232448,0.010340,0.000365,-19.552000
0.232960,0.001974,0.000330,-20.774000
0.233472,0.000000,0.000290,-23.218000
0.233984,0.000000,0.000255,-23.218000
0.234496,0.000000,0.000225,-23.218000
0.235008,0.000000,0.000205,-23.218000
0.235520,0.000000,0.000185,-23.218000
0.236032,0.000000,0.000180,-25.662000
0.236544,0.000000,0.000180,-20.774000
0.237056,0.000000,0.000180,-26.884000
0.237568,0.000000,0.000185,-26.884000
0.238080,0.000000,0.000195,-26.884000
0.238592,0.000000,0.000200,-29.328000
0.239104,0.000000,0.000200,-26.884000
0.239616,0.000000,0.000200,-29.328000
0.240128,0.000000,0.000200,-23.218000
0.240640,0.000000,0.000205,-29.328000
0.241152,0.000000,0.000210,-26.884000
0.241664,0.000000,0.000215,-31.772000
0.242176,0.000000,0.000215,-29.328000
0.242688,0.000000,0.000215,-29.328000
0.243200,0.000000,0.000215,-26.884000
0.243712,0.000000,0.000225,-31.772000
0.244224,0.000000,0.000230,-29.328000
0.244736,0.000000,0.000235,-31.772000
0.245248,0.000000,0.000235,-26.884000
0.245760,0.000000,0.000235,-29.328000
0.246272,0.000000,0.000235,-31.772000
0.246784,0.000000,0.000235,-29.328000
0.247296,0.000000,0.000235,-29.328000
0.247808,0.000000,0.000235,-26.884000
0.248320,0.000000,0.000240,-26.884000
0.248832,0.000000,0.000235,-32.994000
0.249344,0.000000,0.000230,-29.328000
0.249856,0.000000,0.000225,-26.884000
0.250368,0.000000,0.000225,-29.328000
0.250880,0.000000,0.000225,-26.884000
0.251392,0.000000,0.000225,-29.328000
0.251904,0.000000,0.000220,-29.328000
0.252416,0.000000,0.000210,-26.884000
0.252928,0.000000,0.000210,-26.884000
0.253440,0.000000,0.000205,-25.662000
0.253952,0.000000,0.000205,-26.884000
0.254464,0.000000,0.000210,-26.884000
0.254976,0.000000,0.000205,-26.884000
0.255488,0.000000,0.000195,-29.328000
0.256000,0.000000,0.000190,-29.328000
0.256512,0.000000,0.000190,-29.328000
0.257024,0.000000,0.000185,-26.884000
0.257536,0.000000,0.000175,-29.328000
0.258048,0.000000,0.000165,-25.662000
0.258560,0.000000,0.000160,-26.884000
0.259072,0.000000,0.000140,-26.884000
0.259584,0.000000,0.000125,-31.772000
0.260096,0.000000,0.000110,-26.884000
0.260608,0.000000,0.000100,-20.774000
0.261120,0.000000,0.000085,-25.662000
0.261632,0.000000,0.000075,-26.884000
0.262144,0.000000,0.000055,-19.552000
0.262656,0.000000,0.000040,-25.662000
0.263168,0.000000,0.000025,-20.774000
0.263680,0.000000,0.000015,-23.218000
0.264192,0.000000,0.000005,-19.552000
0.264704,0.000000,-0.000005,-23.218000
0.265216,0.000000,-0.000010,-19.552000
0.265728,0.000000,-0.000015,-19.552000
0.266240,0.000000,-0.000015,-20.774000
0.266752,0.000000,-0.000015,-20.774000
0.267264,0.000000,-0.000015,-26.884000
0.267776,0.000000,-0.000005,-26.884000
0.268288,0.000000,-0.000005,-20.774000
0.268800,0.000000,-0.000005,-23.218000
0.269312,0.000000,-0.000005,-23.218000
0.269824,0.000000,-0.000010,-26.884000
0.270336,0.000000,-0.000005,-25.662000
0.270848,0.000000,0.000000,-29.328000
0.271360,0.000000,0.000005,-23.218000
0.271872,0.000000,0.000010,-23.218000
0.272384,0.000000,0.000010,-26.884000
0.272896,0.000000,0.000010,-31.772000
0.273408,0.000000,0.000010,-23.218000
0.273920,0.000000,0.000025,-26.884000
0.274432,0.000000,0.000025,-23.218000
0.274944,0.000000,0.000035,-26.884000
0.275456,0.000000,0.000045,-26.884000
0.275968,0.000000,0.000050,-23.218000
0.276480,0.000000,0.000050,-17.108000
0.276992,0.000000,0.000055,-23.218000
0.277504,0.000000,0.000060,-29.328000
0.278016,0.000000,0.000060,-29.328000
0.278528,0.000000,0.000060,-26.884000
0.279040,0.000000,0.000065,-23.218000
0.279552,0.000000,0.000070,-26.884000
0.280064,0.000000,0.000080,-23.218000
0.280576,0.000000,0.000085,-23.218000
0.281088,0.000000,0.000090,-29.328000
0.281600,0.000000,0.000090,-29.328000
0.282112,0.000000,0.000095,-29.328000
0.282624,0.000000,0.000095,-23.218000
0.283136,0.000000,0.000095,-31.772000
0.283648,0.000000,0.000095,-26.884000
0.284160,0.000000,0.000095,-26.884000
0.284672,0.000000,0.000095,-25.662000
0.285184,0.000000,0.000095,-26.884000
0.285696,0.000000,0.000095,-25.662000
0.286208,0.000000,0.000090,-26.884000
0.286720,0.000000,0.000090,-25.662000
0.287232,0.000000,0.000085,-29.328000
0.287744,0.000000,0.000085,-29.328000
0.288256,0.000000,0.000085,-25.662000
0.288768,0.000000,0.000085,-26.884000
0.289280,0.000000,0.000080,-26.884000
0.289792,0.000000,0.000080,-26.884000
0.290304,0.000000,0.000070,-26.884000
